TIME;Belgium;Bulgaria;Czechia;Denmark;Germany;Estonia;Ireland;Greece;Spain;France;Croatia;Italy;Cyprus;Latvia;Lithuania;Luxembourg;Hungary;Malta;Netherlands;Austria;Poland;Portugal;Romania;Slovenia;Slovakia;Finland;Sweden
2015-12;100,74;99,60;99,4;99,8;99,6;99,01;99,6;99,98;100,09;100,09;98,99;100,6;98,67;99,29;99,98;99,66;99,66;98,60;99,53;100,95;99,6;99,86;99,50;99,67;99,53;99,98;100,54
2016-01;98,99;99,40;100,0;99,3;98,5;98,85;98,7;98,30;97,63;99,02;98,60;98,4;97,25;98,63;99,62;98,13;99,52;97,07;98,03;99,85;99,4;98,78;98,95;98,32;99,24;99,52;99,96
2016-02;100,67;98,89;100,1;99,8;98,9;99,65;99,1;98,28;97,21;99,31;98,32;98,0;96,65;98,72;99,35;99,37;99,38;97,69;98,94;99,76;99,4;98,28;98,69;98,36;99,37;99,69;100,30
2016-03;101,46;98,28;100,1;99,9;99,8;100,41;99,4;99,40;99,16;100,09;98,82;100,1;97,37;99,47;100,41;99,49;99,53;98,64;100,40;100,82;99,5;100,48;98,85;99,16;99,38;100,18;100,85
2016-04;101,65;98,12;100,7;100,1;99,9;100,49;99,7;100,07;99,65;100,18;99,23;100,3;97,74;99,91;101,13;99,64;100,37;101,19;100,51;100,93;99,8;100,93;98,82;99,50;99,74;100,49;100,86
2016-05;102,04;98,14;100,5;100,3;100,5;100,88;100,2;100,08;100,17;100,65;99,49;100,6;99,03;100,65;101,14;100,17;100,66;102,24;100,75;101,04;100,0;101,33;99,15;100,33;99,69;100,40;101,08
2016-06;102,40;98,27;100,6;100,4;100,6;101,37;100,9;101,38;100,59;100,80;99,77;100,8;99,31;100,71;101,13;100,60;100,87;103,36;100,20;101,04;100,1;101,50;98,94;100,84;99,82;100,46;101,19
2016-07;101,30;99,25;101,0;100,3;101,2;101,38;100,6;100,16;99,25;100,39;99,72;98,9;100,30;100,41;100,31;99,33;100,69;103,29;100,50;100,49;99,8;100,87;98,74;99,97;99,41;100,31;101,27
2016-08;102,59;99,29;100,8;99,9;101,1;101,52;100,4;100,18;99,21;100,74;99,55;98,8;100,74;99,74;99,86;100,32;100,28;103,72;100,67;100,33;99,6;100,83;98,74;99,90;99,27;100,35;101,13
2016-09;102,15;98,55;100,6;99,9;101,1;101,56;100,0;100,88;99,93;100,50;99,70;100,7;100,32;100,09;100,63;100,59;100,45;102,80;100,31;101,33;99,6;101,49;98,59;100,18;99,30;100,57;101,29
2016-10;102,56;98,46;100,8;100,2;101,2;101,09;99,6;101,33;100,71;100,54;99,84;100,9;99,46;100,71;101,16;100,77;101,10;101,78;100,67;101,72;100,0;101,69;99,09;100,61;99,58;100,82;101,69
2016-11;102,46;98,36;101,2;100,0;100,3;101,06;99,5;99,85;100,95;100,55;99,72;100,7;98,48;100,79;101,46;100,82;101,06;99,50;100,02;101,79;100,0;100,71;99,13;100,69;99,67;100,80;101,73
2016-12;102,96;99,10;101,5;100,1;101,2;101,34;99,4;100,27;101,50;100,90;99,69;101,1;98,73;101,38;101,94;101,24;101,46;99,55;100,27;102,55;100,5;100,74;99,41;100,29;99,75;101,08;102,28
2017-01;102,03;99,77;102,3;100,0;100,2;101,61;98,9;99,79;100,50;100,57;99,51;99,4;97,92;101,45;102,15;100,59;101,87;98,47;99,64;101,91;100,8;100,05;99,28;99,84;100,02;100,41;101,50
2017-02;104,00;99,80;102,7;100,7;101,0;103,08;99,4;99,69;100,16;100,73;99,70;99,6;97,99;101,86;102,49;102,05;102,22;98,87;100,58;102,13;101,3;99,85;99,18;100,79;100,55;101,12;102,25
2017-03;103,99;99,28;102,7;100,8;101,3;103,46;100,0;101,06;101,29;101,47;99,92;101,5;98,83;102,74;103,58;101,98;102,21;99,78;101,03;102,94;101,3;101,86;99,25;101,14;100,42;101,10;102,25
2017-04;104,35;99,74;102,8;101,1;101,9;104,06;100,4;101,72;102,21;101,57;100,60;102,3;99,78;103,19;104,64;102,23;102,63;102,35;101,94;103,27;101,6;103,35;99,46;101,18;100,56;101,50;102,84
2017-05;104,02;99,52;103,0;101,0;101,8;104,41;100,2;101,56;102,16;101,59;100,45;102,2;99,92;103,39;104,42;102,11;102,79;103,39;101,49;103,21;101,5;103,08;99,68;101,86;100,82;101,32;102,89
2017-06;103,95;99,35;103,0;100,8;102,3;104,55;100,3;102,30;102,22;101,58;100,86;102,0;100,19;103,82;104,66;102,09;102,85;104,44;101,17;103,06;101,4;102,53;99,61;101,76;100,82;101,34;103,00
2017-07;103,13;99,85;103,4;101,8;102,9;105,36;100,4;101,08;100,98;101,17;100,95;100,1;100,24;103,00;104,46;101,13;102,92;104,57;102,00;102,47;101,2;101,89;99,61;101,14;100,87;100,94;103,59
2017-08;104,64;100,03;103,2;101,4;103,0;105,80;100,8;100,77;101,15;101,74;101,00;100,2;101,22;102,90;104,45;102,58;102,95;105,00;102,18;102,46;101,0;102,12;99,36;101,27;100,88;101,12;103,37
2017-09;104,15;99,81;103,1;101,5;103,0;105,56;100,2;101,93;101,77;101,58;101,32;102,0;100,45;103,07;105,28;102,61;103,01;104,05;101,75;103,90;101,2;103,15;99,92;101,60;101,05;101,35;103,51
2017-10;104,44;99,94;103,6;101,6;102,7;105,16;100,1;101,80;102,40;101,70;101,43;102,0;99,84;103,44;105,42;102,79;103,34;103,33;101,97;104,12;101,6;103,64;101,03;101,87;101,40;101,32;103,40
2017-11;104,61;100,21;103,7;101,3;102,0;105,56;100,0;100,90;102,73;101,80;101,29;101,8;98,66;103,54;105,69;102,80;103,66;100,97;101,57;104,27;102,0;102,53;101,68;102,14;101,73;101,67;103,63
2017-12;105,08;100,88;103,7;100,9;102,7;105,15;99,9;101,24;102,74;102,16;100,95;102,1;98,32;103,57;105,82;102,83;103,68;100,88;101,49;104,94;102,2;102,37;101,98;102,21;101,71;101,59;104,05
2018-01;103,82;101,08;104,4;100,6;101,7;105,28;99,2;100,00;101,22;102,06;100,75;100,6;96,47;103,49;105,87;101,90;104,01;99,63;101,12;103,86;102,4;101,15;102,66;101,56;102,59;101,26;103,10
2018-02;105,53;101,31;104,3;101,2;102,2;106,37;100,1;100,09;101,37;102,05;100,62;100,1;97,58;103,72;105,73;103,14;104,18;100,19;101,84;104,12;102,0;100,51;102,91;102,22;102,75;101,74;103,93
2018-03;105,56;101,13;104,3;101,2;103,0;106,44;100,5;101,26;102,59;103,22;101,09;102,4;98,43;105,06;106,15;103,15;104,29;101,11;102,06;105,05;102,0;102,69;103,23;102,61;102,95;101,98;104,25
2018-04;106,01;101,45;104,6;101,8;103,2;107,04;100,3;102,23;103,36;103,43;102,00;102,9;99,51;105,35;106,92;103,60;105,06;103,77;102,99;105,29;102,5;103,68;103,69;103,07;103,56;102,32;104,66
2018-05;106,38;101,84;105,1;102,0;104,3;107,61;100,9;102,33;104,32;103,92;102,27;103,2;100,87;105,83;107,42;104,22;105,75;105,19;103,41;105,40;102,7;104,55;104,28;104,12;103,57;102,37;104,95
2018-06;106,68;102,34;105,5;101,9;104,4;108,65;101,0;103,29;104,56;103,93;103,06;103,4;101,92;106,59;107,33;104,53;106,11;106,57;102,85;105,46;102,8;104,57;104,33;104,15;103,70;102,55;105,21
2018-07;105,93;103,41;105,7;102,7;105,2;108,87;101,4;101,87;103,31;103,80;103,20;102,0;101,67;105,75;106,82;103,63;106,44;106,81;103,96;104,83;102,6;104,16;103,94;103,27;103,53;102,36;105,82
2018-08;107,41;103,75;105,7;102,2;105,2;109,55;101,7;101,66;103,41;104,35;103,16;101,8;102,91;105,78;106,37;105,06;106,49;107,56;104,09;104,82;102,4;103,46;104,02;103,29;103,77;102,51;105,53
2018-09;107,10;103,39;105,3;102,0;105,3;109,26;101,4;103,08;104,06;104,12;102,96;103,5;102,11;106,44;107,85;105,38;106,82;106,69;103,36;106,11;102,7;105,03;104,62;103,84;103,81;102,78;106,05
2018-10;107,80;103,55;105,7;102,3;105,4;109,86;101,2;103,59;104,77;104,24;103,12;103,7;101,78;106,75;108,42;105,64;107,35;105,45;103,89;106,62;103,1;104,49;105,26;104,21;103,90;103,05;105,89
2018-11;107,63;103,25;105,4;102,0;104,2;108,97;100,8;101,96;104,52;104,00;102,60;103,4;100,25;106,57;108,22;105,47;106,98;102,35;103,37;106,64;103,1;103,43;104,96;104,31;103,76;103,13;105,77
2018-12;107,39;103,21;105,4;101,6;104,4;108,64;100,7;101,88;104,00;104,10;101,96;103,3;99,31;106,21;107,68;104,78;106,58;102,13;103,35;106,74;103,1;103,02;105,06;103,68;103,61;102,93;106,29
2019-01;105,69;103,43;106,5;101,8;103,4;108,18;100,0;100,54;102,26;103,52;101,32;101,5;98,53;106,53;107,60;103,58;106,88;100,58;103,13;105,62;103,0;101,73;105,98;102,78;104,86;102,48;105,13
2019-02;107,62;103,73;106,8;102,3;103,9;108,38;100,8;100,86;102,47;103,64;101,41;101,2;98,36;106,64;107,86;105,31;107,47;101,50;104,44;105,61;103,3;101,45;107,00;103,50;105,09;103,04;105,88
2019-03;107,86;103,95;107,0;102,4;104,4;108,83;101,6;102,32;103,90;104,55;102,20;103,5;99,49;107,85;108,88;105,63;108,23;102,47;104,98;106,81;103,7;103,53;107,58;104,23;105,78;103,15;106,10
2019-04;108,11;104,60;107,1;102,7;105,4;110,50;102,0;103,33;105,06;104,93;102,86;104,0;100,74;108,86;109,85;105,92;109,20;105,57;106,11;107,12;104,7;104,60;108,30;104,93;106,01;103,90;106,82
2019-05;108,16;104,76;107,8;102,7;105,7;110,93;101,9;102,93;105,31;105,06;103,30;104,1;101,03;109,53;110,15;106,47;110,00;107,02;105,82;107,18;105,0;104,87;108,86;105,75;106,39;103,67;107,12
2019-06;108,09;104,73;108,0;102,4;106,0;111,47;102,1;103,54;105,18;105,35;103,59;104,2;102,26;109,85;109,87;106,11;109,75;108,45;105,67;107,11;105,2;105,27;108,43;106,10;106,49;103,71;106,94
2019-07;107,21;106,13;108,4;103,1;106,4;111,10;101,9;102,32;103,98;105,11;104,12;102,3;101,81;108,89;109,51;105,30;109,98;108,76;106,67;106,26;105,2;103,46;108,23;105,38;106,64;103,38;107,45
2019-08;108,34;106,33;108,5;102,7;106,3;111,87;102,3;101,74;103,87;105,67;103,73;102,3;103,49;109,08;109,03;106,54;109,89;109,63;107,32;106,34;105,1;103,34;108,24;105,79;106,87;103,79;106,91
2019-09;107,70;105,07;108,0;102,4;106,2;111,70;102,0;103,30;104,28;105,28;103,54;103,7;101,65;108,91;110,02;106,50;109,91;108,44;106,16;107,42;105,2;104,76;108,30;105,64;106,97;103,83;107,43
2019-10;108,01;105,23;108,5;102,9;106,3;111,45;101,8;103,23;104,97;105,20;103,79;103,9;101,27;109,06;110,10;106,53;110,58;106,90;106,82;107,72;105,5;104,39;108,68;105,74;106,87;103,98;107,57
2019-11;108,02;105,56;108,6;102,6;105,4;110,95;101,6;102,51;105,01;105,27;103,39;103,6;100,73;108,68;110,10;106,56;110,66;103,69;106,01;107,92;105,6;103,66;108,90;105,77;107,05;103,92;107,67
2019-12;108,38;106,41;108,8;102,4;106,0;110,59;101,8;102,95;104,88;105,78;103,25;103,8;100,03;108,48;110,62;106,68;110,96;103,44;106,24;108,69;106,2;103,40;109,31;105,71;106,89;104,10;108,14
2020-01;107,17;106,94;110,5;102,6;105,1;109,94;101,1;101,63;103,42;105,24;103,12;101,9;99,22;108,85;110,81;106,21;111,92;101,97;104,85;107,91;106,9;102,57;110,09;105,15;108,23;103,72;106,73
2020-02;108,74;106,95;110,8;103,0;105,7;110,56;101,7;101,27;103,36;105,27;102,65;101,4;99,37;109,04;110,84;107,25;112,22;102,63;105,77;107,92;107,5;101,99;110,05;105,56;108,37;104,20;107,21
2020-03;108,32;106,46;110,8;102,7;105,8;109,89;102,1;102,51;103,98;105,34;102,68;103,6;99,59;109,35;110,69;105,99;112,48;103,68;106,09;108,50;107,7;103,67;110,47;104,91;108,34;104,03;106,97
2020-04;108,10;106,01;110,6;102,6;106,2;109,52;101,7;102,39;104,35;105,32;102,71;104,1;99,52;108,78;110,86;105,10;111,95;106,70;107,14;108,75;107,7;104,46;110,76;103,56;108,26;103,58;106,58
2020-05;107,92;105,76;111,1;102,5;106,2;108,91;101,1;102,23;104,41;105,49;102,58;103,8;99,62;108,50;110,34;104,78;112,45;108,02;106,94;107,81;108,6;104,20;110,77;104,30;108,58;103,52;107,25
2020-06;108,33;105,69;111,7;102,6;106,9;109,67;101,5;101,56;104,87;105,58;103,14;103,8;99,97;108,68;110,81;105,72;112,92;109,49;107,45;108,25;109,2;105,50;110,78;105,21;108,46;103,77;107,93
2020-07;109,05;106,58;112,3;103,5;106,4;109,69;101,3;100,17;103,23;106,01;103,48;103,1;99,73;108,99;110,53;105,40;114,25;109,54;108,42;108,14;109,1;103,38;110,95;105,05;108,54;104,07;108,18
2020-08;107,38;107,01;112,3;103,1;106,2;110,38;101,2;99,45;103,23;105,89;103,27;101,8;100,50;108,53;110,32;106,34;114,24;110,35;107,65;107,82;109,0;103,12;110,93;105,02;108,41;104,09;107,99
2020-09;108,21;105,70;111,6;102,9;105,8;110,22;100,8;100,91;103,69;105,30;103,18;102,7;99,70;108,45;110,66;106,13;113,70;108,96;107,19;108,67;109,2;103,92;110,53;104,85;108,45;104,11;108,06
2020-10;108,47;105,87;111,7;103,2;105,8;109,51;100,3;101,13;104,01;105,27;103,60;103,3;99,87;108,32;110,65;106,08;113,91;107,54;108,05;108,93;109,5;103,80;110,67;105,20;108,61;104,22;107,99
2020-11;108,27;105,89;111,6;103,0;104,7;109,63;100,6;100,31;104,12;105,50;103,36;103,3;99,67;107,97;110,49;105,86;113,72;103,93;106,72;109,13;109,5;103,24;110,70;104,56;108,71;104,10;107,91
2020-12;108,76;106,43;111,4;102,8;105,3;109,62;100,8;100,49;104,28;105,75;102,96;103,5;99,24;107,95;110,54;106,32;114,08;103,61;107,22;109,79;109,8;103,10;111,32;104,48;108,65;104,30;108,79
2021-01;107,82;106,59;112,9;103,0;106,8;110,22;101,0;99,20;103,87;106,03;103,08;102,6;98,41;108,36;111,05;107,33;115,12;102,22;106,51;109,05;110,8;102,76;112,29;104,20;109,00;104,76;108,73
2021-02;109,08;107,16;113,1;103,5;107,4;111,16;101,3;99,39;103,27;106,07;103,32;102,4;98,50;108,83;111,33;106,67;115,94;102,75;107,76;109,40;111,4;102,27;112,76;104,41;109,31;105,12;109,11
2021-03;110,07;107,33;113,3;103,6;107,9;110,87;102,2;100,43;105,22;106,80;104,34;104,2;99,89;109,66;112,43;108,59;116,83;103,75;108,09;110,69;112,4;103,80;113,23;105,04;109,93;105,44;109,22
2021-04;110,32;108,08;114,0;104,1;108,4;111,30;102,8;101,29;106,39;107,02;104,90;105,1;100,70;110,65;113,57;108,56;117,75;106,77;108,95;110,83;113,2;104,36;113,70;105,85;110,10;105,85;109,54
2021-05;110,62;108,23;114,1;104,4;108,7;112,38;103,0;100,98;106,95;107,38;105,01;105,0;101,15;111,27;114,19;109,02;118,40;108,19;109,11;111,04;113,6;104,70;114,34;106,62;110,78;105,88;109,79
2021-06;111,11;108,20;114,5;104,5;109,1;113,76;103,1;102,17;107,46;107,57;105,40;105,2;102,17;111,60;114,74;109,35;118,93;109,66;109,27;111,28;113,7;104,91;114,62;107,03;111,19;105,75;109,87
2021-07;110,58;108,97;115,3;105,3;109,7;115,07;103,5;100,83;106,18;107,64;106,30;104,1;102,40;112,04;115,30;108,92;119,59;109,88;109,96;111,18;114,2;104,53;115,15;107,10;111,70;105,97;110,18
2021-08;112,41;109,73;115,8;105,0;109,8;115,86;104,2;100,68;106,65;108,38;106,51;104,3;103,86;112,46;115,79;110,08;119,86;110,77;110,54;111,23;114,5;104,41;115,35;107,19;111,97;106,00;110,72
2021-09;112,35;109,92;116,1;105,4;110,1;117,25;104,6;102,83;107,87;108,16;106,80;105,7;103,31;113,53;117,72;110,40;120,01;109,72;110,37;112,23;115,3;105,29;116,31;107,72;112,82;106,26;111,29
2021-10;114,33;111,35;117,1;106,5;110,7;116,96;105,4;104,00;109,60;108,64;107,65;106,6;104,24;114,78;119,69;111,75;121,38;109,01;112,10;113,03;116,5;105,69;117,85;108,90;113,40;107,14;111,53
2021-11;115,95;112,54;117,0;106,9;111,0;119,02;106,0;104,35;109,87;109,09;108,18;107,3;104,37;115,99;120,76;112,56;122,20;106,38;113,02;113,62;117,6;105,96;118,15;109,71;113,96;107,72;112,15
2021-12;115,93;113,44;117,4;106,3;111,3;122,81;106,5;104,87;111,13;109,34;108,31;107,8;104,04;116,46;122,37;112,11;122,51;106,33;114,09;113,95;118,6;105,97;118,76;109,83;114,15;107,60;113,71
2022-01;116,99;114,80;122,8;108,0;112,3;122,39;106,1;104,65;110,26;109,51;108,76;107,8;103,33;116,44;124,68;112,30;124,26;106,36;114,61;113,93;120,4;106,25;120,42;110,48;117,37;109,10;112,98
2022-02;119,49;116,16;124,4;109,0;113,3;124,02;107,1;105,63;111,15;110,49;109,80;108,7;104,22;118,39;126,87;114,98;125,64;107,08;115,58;115,40;120,4;106,74;121,68;111,73;118,36;109,73;113,95
2022-03;120,28;118,59;126,8;109,8;116,1;127,31;109,3;108,43;115,51;112,26;111,93;111,3;106,13;122,24;129,93;117,22;126,90;108,46;120,70;118,00;123,9;109,49;124,05;111,30;120,43;111,54;116,12
2022-04;120,61;121,12;129,1;111,8;116,9;132,59;110,3;110,55;115,21;112,78;114,94;111,7;109,38;125,09;132,40;118,29;129,03;112,52;121,16;118,75;126,1;112,07;127,00;113,63;122,06;111,98;116,78
2022-05;121,61;122,74;131,5;113,0;118,2;135,02;111,5;111,59;116,03;113,63;116,27;112,7;110,06;129,93;135,30;118,95;131,24;114,45;120,21;119,60;128,1;113,17;128,55;115,91;123,82;113,43;118,04
2022-06;122,82;124,16;133,5;114,0;118,1;138,79;113,0;114,05;118,22;114,60;118,14;114,1;111,34;133,08;138,31;120,65;133,90;116,37;120,13;120,99;129,9;114,37;129,55;118,61;125,21;114,31;119,61
2022-07;122,03;125,18;135,2;115,4;119,0;141,73;113,4;112,19;117,54;114,94;119,75;112,8;113,22;135,95;139,36;119,04;137,14;117,39;122,74;121,67;130,4;114,39;130,14;119,63;126,02;114,49;119,36
2022-08;124,24;126,20;135,6;115,4;119,5;145,01;113,6;111,98;117,84;115,49;119,90;113,8;113,80;136,51;140,18;119,54;142,19;118,53;125,63;121,52;131,4;114,17;130,72;119,51;126,95;114,37;121,22
2022-09;125,90;127,10;136,8;117,1;122,1;145,50;113,6;115,29;117,55;114,90;120,21;115,6;112,63;138,56;144,23;120,15;144,82;117,83;129,20;124,58;133,4;115,62;131,94;119,17;128,14;115,20;122,70
2022-10;129,30;127,87;135,3;118,6;123,5;143,23;115,3;113,85;117,61;116,32;121,37;120,0;113,24;139,72;146,15;121,62;147,91;117,10;130,92;126,09;135,6;116,86;133,72;120,13;129,81;116,13;122,45
2022-11;128,07;128,68;137,1;117,3;123,5;144,49;115,5;113,55;117,22;116,81;122,19;120,8;112,81;141,20;146,63;120,79;150,48;114,06;125,81;126,31;136,5;116,82;135,39;121,51;131,12;117,48;123,47
2022-12;127,77;129,69;137,1;116,5;122,0;144,30;115,2;112,81;117,22;116,70;122,03;121,1;111,93;140,57;146,82;119,09;153,14;114,08;126,64;125,96;136,8;116,36;135,55;121,64;131,31;117,06;126,04
2023-01;125,66;131,20;146,2;117,1;122,6;145,16;114,1;112,29;116,72;117,22;122,34;119,3;110,33;141,30;147,75;118,78;156,81;113,58;124,23;127,11;139,5;115,44;136,61;121,47;135,05;117,69;123,81
2023-02;125,99;132,12;147,3;118,0;123,8;146,14;115,8;112,51;117,82;118,55;122,68;119,4;111,23;142,19;148,73;120,45;158,08;114,60;125,90;128,15;141,1;115,89;137,95;122,22;136,59;118,46;125,00
2023-03;126,23;132,90;147,7;117,8;125,1;147,20;116,9;114,28;119,06;119,76;123,73;120,3;112,64;143,26;149,70;120,67;159,42;116,15;126,16;128,88;142,7;118,22;139,13;122,87;138,31;118,98;125,57
2023-04;124,65;133,63;147,5;118,1;125,8;150,04;117,2;115,55;119,61;120,55;125,16;121,3;113,67;143,83;150,00;121,50;160,57;119,74;128,17;129,88;143,8;119,75;140,21;124,14;139,16;119,05;125,82
2023-05;124,91;133,30;147,9;116,3;125,6;150,08;117,5;116,17;119,44;120,46;125,88;121,7;114,07;145,92;149,82;121,27;159,99;121,68;128,41;130,06;144,1;119,27;140,89;125,25;139,07;119,14;125,91
2023-06;124,79;133,45;148,4;116,7;126,1;151,30;118,4;117,23;120,13;120,71;127,91;121,8;114,41;143,90;149,67;121,81;160,55;123,54;127,78;130,42;144,2;119,79;141,55;126,43;139,39;118,96;127,17
2023-07;124,05;134,99;149,0;119,1;126,7;150,56;118,6;116,08;120,03;120,77;129,36;119,9;115,97;144,99;149,35;121,46;161,12;123,96;129,25;130,17;143,8;119,33;141,76;126,48;139,06;119,28;126,93
2023-08;127,20;135,61;149,3;118,1;127,2;151,25;119,2;115,87;120,68;122,10;130,00;120,1;117,28;144,20;149,13;123,75;162,37;124,49;129,90;130,59;143,9;120,24;142,86;126,75;139,18;117,96;126,72
